Rank (2017),City/Town,Russian,Federal District,Population (2017),Population (2010),Change%
1,Moscow,Москва,Central,12380664,11503501,7.625182976904162
2,Saint Petersburg,Санкт-Петербург,Northwest,5281579,4879566,8.238704015889937
3,Novosibirsk,Новосибирск,Siberia,1602915,1473754,8.764081386717185
4,Yekaterinburg,Екатеринбург,Ural,1455514,1349772,7.834063827075981
5,Nizhny Novgorod,Нижний Новгород,Volga,1261666,1250619,0.8833225786590481
6,Kazan,Казань,"Volga
",1231878,1143535,7.725430354121212
7,Chelyabinsk,Челябинск,"Ural
",1198858,1130132,6.081236528122378
8,Omsk,Омск,"Siberia
",1178391,1154116,2.1033414318837966
9,Samara,Самара,"Volga
",1169719,1164685,0.43221987060879125
10,Rostov-on-Don,Ростов-на-Дону,South,1125299,1089261,3.3084816219436846
11,Ufa,Уфа,"Volga
",1115560,1062319,5.011771417060224
12,Krasnoyarsk,Красноярск,"Siberia
",1082933,973826,11.203952246089138
13,Perm,Пермь,"Volga
",1048005,991162,5.734985804540529
14,Voronezh,Воронеж,"Central
",1039801,889680,16.8735950004496
15,Volgograd,Волгоград,"South
",1015586,1021215,-0.5512061612882694
16,Krasnodar,Краснодар,"South
",881476,744995,18.31972026657897
17,Saratov,Саратов,"Volga
",845300,837900,0.8831602816565223
18,Tyumen,Тюмень,"Ural
",744554,581907,27.950686278047865
19,Tolyatti,Тольятти,"Volga
",710567,719632,-1.2596716099339662
20,Izhevsk,Ижевск,"Volga
",646277,627734,2.9539582052270545
21,Barnaul,Барнаул,"Siberia
",633301,612401,3.4127965173146353
22,Ulyanovsk,Ульяновск,"Volga
",624518,614786,1.5829898533798754
23,Irkutsk,Иркутск,"Siberia
",623736,587891,6.097218702106343
24,Khabarovsk,Хабаровск,Far East,616242,577441,6.719474370541752
25,Yaroslavl,Ярославль,"Central
",608079,591486,2.805307310739392
26,Vladivostok,Владивосток,"Far East
",606589,592034,2.458473668741998
27,Makhachkala,Махачкала,North Caucasus,592976,572076,3.653360742278998
28,Tomsk,Томск,"Siberia
",572740,524669,9.162157474522031
29,Orenburg,Оренбург,"Volga
",564443,548331,2.9383711663210725
30,Kemerovo,Кемерово,"Siberia
",556920,532981,4.491529716819174
31,Novokuznetsk,Новокузнецк,"Siberia
",552445,547904,0.8287948253708679
32,Ryazan,Рязань,"Central
",537622,524927,2.418431515239262
33,Astrakhan,Астрахань,"South
",532504,520339,2.337898946648243
34,Naberezhnye Chelny,Набережные Челны,"Volga
",529797,513193,3.2354299454591158
35,Penza,Пенза,"Volga
",523726,517311,1.2400664203931484
36,Lipetsk,Липецк,"Central
",510439,508887,0.30497929795809287
37,Kirov,Киров,"Volga
",501468,473695,5.863055341517221
38,Cheboksary,Чебоксары,"Volga
",489498,453721,7.885242252397398
39,Tula,Тула,"Central
",485221,501169,-3.1821601096636067
40,Kaliningrad,Калининград,"Northwest
",467289,431902,8.193293849067611
41,Balashikha,Балашиха,"Central
",450771,215494,109.18030200376809
42,Kursk,Курск,"Central
",449063,415159,8.166509698693753
43,Stavropol,Ставрополь,"North Caucasus
",433577,398539,8.791611360494205
44,Ulan-Ude,Улан-Удэ,"Siberia
",431922,404426,6.7987715923308585
45,Tver,Тверь,"Central
",419363,403606,3.9040549446737662
46,Magnitogorsk,Магнитогорск,"Ural
",418241,407775,2.5666114891790817
47,Sochi,Сочи,"South
",411524,343334,19.861126483249546
48,Ivanovo,Иваново,"Central
",406933,408330,-0.3421252418387089
49,Bryansk,Брянск,"Central
",406553,415721,-2.205325206087737
50,Belgorod,Белгород,"Central
",391135,356402,9.7454559738722
51,Surgut,Сургут,"Ural
",360590,306675,17.580500529876904
52,Vladimir,Владимир,"Central
",356168,345373,3.125606228628179
53,Nizhny Tagil,Нижний Тагил,"Ural
",355693,361811,-1.690938086459505
54,Arkhangelsk,Архангельск,"Northwest
",351488,348783,0.7755538544023074
55,Chita,Чита,"Siberia
",347088,324444,6.9793246292118205
56,Kaluga,Калуга,"Central
",341892,324698,5.295382170509211
57,Smolensk,Смоленск,"Central
",329853,326861,0.9153738133334964
58,Volzhsky,Волжский,"South
",326055,314255,3.7549124118947987
59,Kurgan,Курган,"Ural
",322042,333606,-3.466364513827689
60,Cherepovets,Череповец,"Northwest
",318856,312310,2.0959943645736607
61,Oryol,Орёл,"Central
",318633,317747,0.2788381951678537
62,Saransk,Саранск,"Volga
",314789,297415,5.841669048299514
63,Vologda,Вологда,"Northwest
",313012,301755,3.7305098507066994
64,Yakutsk,Якутск,"Far East
",307911,269601,14.209887945519489
65,Vladikavkaz,Владикавказ,"North Caucasus
",306978,311693,-1.5127064130410373
